player,Linkname,Link,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,Snaps,IsTransfer,X2023School,DraftYear
Keaton Mitchell,Keaton-Mitchell,https://premium.pff.com/api/v1/players?league=ncaa&id=123826,123826,HB,E CAROLINA,12,201,75,31,57.7,838,0,1452,4,5,75,724,126.4,54,70,156,0,34,91.1,89.1,86,,22.2,55.9,93.9,51.3,81,0,250,27,235,229,0,0,34,228,14,1452,724,3.6,7.2,1.06,162,541,0,East Carolina,2023
Richard Reese,Richard-Reese,https://premium.pff.com/api/v1/players?league=ncaa&id=158568,158568,HB,BAYLOR,13,197,35,13,31.7,311,0,981,2,2,35,538,48.3,31,64,118,0,60,91,85.3,86.4,,11.8,55.7,85.5,44.5,52,0,84,12,83,219,0,0,14,209,14,981,538,2.73,5,1.01,135,309,0,Baylor,2026
Devon Achane,Devon-Achane,https://premium.pff.com/api/v1/players?league=ncaa&id=124305,124305,HB,TEXAS A&M,10,196,51,18,42.8,471,0,1100,3,7,51,705,89.9,35,63,312,1,79,85.7,82.3,87.5,,27.2,60.8,89.8,56.6,65,0,196,36,299,235,0,0,44,232,8,1100,705,3.6,5.6,0.66,117,613,0,Texas A&M,2023
Devin Mockobee,Devin-Mockobee,https://premium.pff.com/api/v1/players?league=ncaa&id=145111,145111,HB,PURDUE,13,194,45,12,30.4,293,0,963,6,13,45,576,76.2,27,55,273,2,71,76.5,75.3,87.8,,19.5,60,80.3,66.2,68,0,274,32,243,220,0,0,45,226,9,963,576,2.97,5,1.13,122,520,0,Purdue,2025
Zach Charbonnet,Zach-Charbonnet,https://premium.pff.com/api/v1/players?league=ncaa&id=97630,97630,HB,UCLA,10,194,52,24,44.6,606,0,1358,2,15,52,806,120.5,44,76,324,1,91,84.9,91.5,86.4,,32.9,77.1,93.6,46.7,49,0,320,37,246,246,0,0,44,231,14,1358,806,4.15,7,1.3,103,525,0,UCLA,2023
Larry McCammon III,Larry-McCammon-III,https://premium.pff.com/api/v1/players?league=ncaa&id=97309,97309,HB,FAU,12,193,41,14,39.3,395,0,1006,1,9,41,629,78.3,20,43,165,0,70,91,81.9,86.5,,68.7,58.6,83.5,70.9,58,0,165,15,190,261,0,0,19,208,7,1006,629,3.26,5.2,0.87,121,534,0,Florida Atlantic,2024
Roman Hemby,Roman-Hemby,https://premium.pff.com/api/v1/players?league=ncaa&id=144891,144891,HB,MARYLAND,13,187,36,9,36,356,0,988,0,9,36,525,57.2,15,40,215,0,65,90.9,76.4,88.2,,40.8,68.2,80.6,52.8,75,0,315,34,303,254,0,0,37,221,10,988,525,2.81,5.3,1.04,122,654,0,Maryland,2025
Dedrick Parson,Dedrick-Parson,https://premium.pff.com/api/v1/players?league=ncaa&id=78572,78572,HB,HAWAII,13,187,48,10,26.5,220,0,830,1,3,48,543,68.2,21,52,180,3,58,58.6,79.7,55.6,,69.2,63.6,82.7,47.5,37,1,171,30,218,206,0,0,36,217,11,830,543,2.9,4.4,0.78,122,562,0,Hawai'i,2023
Daba Fofana,Daba-Fofana,https://premium.pff.com/api/v1/players?league=ncaa&id=144305,144305,FB,NAVY,12,184,45,10,38,289,0,760,0,0,45,451,59.9,15,38,237,1,72,83.1,62.5,90.3,,33.3,53.6,65.7,54.1,50,0,0,0,12,413,0,0,0,184,6,760,451,2.45,4.1,0,17,503,0,Navy,2025
Frank Peasant,Frank-Peasant,https://premium.pff.com/api/v1/players?league=ncaa&id=121817,121817,HB,MIDDLE TN,13,183,52,7,25.9,202,0,780,0,9,52,602,95.6,17,40,224,2,68,75.2,79.8,58.5,,59.8,74.2,79.8,73.7,85,1,278,27,269,232,0,0,34,210,9,780,602,3.29,4.3,1.03,112,590,0,Middle Tennessee,2025
