"","week","home_team","home_conference","away_team","away_conference","TAN_Proj_Spread","home_points","away_points","Home_TAN23","Home_SP","HFACW","Away_TAN","Away_SP","TANSpread","TANFAV"
"138",1,"Wilkes","Landmark Conference","King's College (PA)","Mid Atlantic","NA NA",23,27,NA,NA,NA,NA,NA,NA,NA
"139",1,"Dean College","ECFC","Fitchburg State","MSCAC","NA NA",33,17,NA,NA,NA,NA,NA,NA,NA
"140",1,"Keystone","Landmark Conference","Gallaudet","ECFC","NA NA",27,6,NA,NA,NA,NA,NA,NA,NA
"141",1,"Alma College","Michigan","Ohio Northern","Ohio","NA NA",52,7,NA,NA,NA,NA,NA,NA,NA
"142",1,"Otterbein","Ohio","Ohio Wesleyan","North Coast","NA NA",21,35,NA,NA,NA,NA,NA,NA,NA
"143",1,"Kalamazoo","Michigan","Oberlin","North Coast","NA NA",42,10,NA,NA,NA,NA,NA,NA,NA
"144",1,"SUNY Cortland","Empire 8","Delaware Valley","Mid Atlantic","NA NA",42,13,NA,NA,NA,NA,NA,NA,NA
"145",1,"MIT","NEWMAC","Bridgewater State","MSCAC","NA NA",41,27,NA,NA,NA,NA,NA,NA,NA
"146",1,"Western Connecticut State","MSCAC","Merchant Marine","NEWMAC","NA NA",35,52,NA,NA,NA,NA,NA,NA,NA
"147",1,"Endicott College","Commonwealth Coast","St Lawrence","Liberty League","NA NA",31,0,NA,NA,NA,NA,NA,NA,NA
"148",1,"Hilbert College","North Coast","Union","Liberty League","NA NA",0,65,NA,NA,NA,NA,NA,NA,NA
"149",1,"Johns Hopkins","Centennial","Ithaca","Liberty League","NA NA",27,17,NA,NA,NA,NA,NA,NA,NA
"150",1,"Davenport","GLIAC","Thomas More",NA,"NA NA",31,17,NA,NA,NA,NA,NA,NA,NA
"151",1,"Kean","New Jersey","Morrisville State","Empire 8","NA NA",14,24,NA,NA,NA,NA,NA,NA,NA
"152",1,"Rochester","Liberty League","Utica","Empire 8","NA NA",17,20,NA,NA,NA,NA,NA,NA,NA
"153",1,"Boston College","ACC","Northern Illinois","Mid-American","Boston College -4.3",24,27,66,-4.9,2.812,64.5,-6.7,-4.3,"Boston College"
"154",1,"Oklahoma","Big 12","Arkansas State","Sun Belt","Oklahoma -27",73,0,88.5,16.4,2.956,64.5,-7.5,-27,"Oklahoma"
"155",1,"TCU","Big 12","Colorado","Pac-12","TCU -11.1",42,45,80,7.5,2.1,71,-5.4,-11.1,"TCU"
"156",1,"Tennessee","SEC","Virginia","ACC","Tennessee -18.6",49,13,86,13,2.144,69.5,-10.3,-18.6,"Tennessee"
"157",1,"SMU","American Athletic","Louisiana Tech","Conference USA","SMU -27",38,14,80,10.5,3.014,56,-12.5,-27,"SMU"
"158",1,"Purdue","Big Ten","Fresno State","Mountain West","Purdue -2.8",35,39,71,-7.4,1.254,69.5,0.5,-2.8,"Purdue"
"159",1,"Liberty","Conference USA","Bowling Green","Mid-American","Liberty -15",34,24,76,11.8,3.468,64.5,-5.9,-15,"Liberty"
"160",1,"Kentucky","SEC","Ball State","Mid-American","Kentucky -22.7",44,14,80,9.3,2.744,60,-14.9,-22.7,"Kentucky"
"161",1,"Iowa","Big Ten","Utah State","Mountain West","Iowa -15.8",24,14,74.5,8.1,2.318,61,-8.5,-15.8,"Iowa"
"162",1,"Georgetown","Patriot","Marist","Pioneer","NA NA",49,7,NA,NA,NA,NA,NA,NA,NA
"163",1,"Stonehill","NEC","New Hampshire","CAA","NA NA",17,51,NA,NA,NA,40,-30.5,NA,NA
"164",1,"Illinois State","MVFC","Dayton","Pioneer","NA NA",41,0,50,-20.5,1,NA,NA,NA,NA
"165",1,"WV Wesleyan","Mountain East","Johnson C Smith","CIAA","NA NA",6,49,NA,NA,NA,NA,NA,NA,NA
"166",1,"Air Force","Mountain West","Robert Morris","Big South-OVC","Air Force -42.5",42,7,72,5.2,3.042,32.5,-38,-42.5,"Air Force"
"167",1,"University of New England","Commonwealth Coast","Coast Guard","NEWMAC","NA NA",44,28,NA,NA,NA,NA,NA,NA,NA
"168",1,"Bridgewater (VA)","Old Dominion","Susquehanna","Landmark Conference","NA NA",19,51,NA,NA,NA,NA,NA,NA,NA
"169",1,"Apprentice School","Independent DIII","Averett","Old Dominion","NA NA",14,34,NA,NA,NA,NA,NA,NA,NA
"170",1,"Brevard College","USA South","Warner",NA,"NA NA",23,29,NA,NA,NA,NA,NA,NA,NA
"171",1,"Grove City College","Presidents'","Westminster PA","Presidents'","NA NA",17,7,NA,NA,NA,NA,NA,NA,NA
"172",1,"Sewanee Univ. of the South","Southern Athletic","Maryville TN","USA South","NA NA",8,28,NA,NA,NA,NA,NA,NA,NA
"173",1,"Hampden-Sydney","Old Dominion","Wabash College","North Coast","NA NA",28,29,NA,NA,NA,NA,NA,NA,NA
"174",1,"Wilmington (OH)","Ohio","Wooster","North Coast","NA NA",63,43,NA,NA,NA,NA,NA,NA,NA
"175",1,"St. Vincent","Presidents'","Washington & Jefferson","Presidents'","NA NA",0,51,NA,NA,NA,NA,NA,NA,NA
"176",1,"Western New England","Commonwealth Coast","Springfield","NEWMAC","NA NA",14,28,NA,NA,NA,NA,NA,NA,NA
"177",1,"Widener","Mid Atlantic","Lycoming","Landmark Conference","NA NA",42,21,NA,NA,NA,NA,NA,NA,NA
"178",1,"Gettysburg","Centennial","Juniata","Landmark Conference","NA NA",40,20,NA,NA,NA,NA,NA,NA,NA
"179",1,"Washington & Lee","Old Dominion","Salisbury","New Jersey","NA NA",7,28,NA,NA,NA,NA,NA,NA,NA
"180",1,"Husson","Commonwealth Coast","Norwich","NEWMAC","NA NA",28,14,NA,NA,NA,NA,NA,NA,NA
"181",1,"Delaware State","MEAC","Bowie State","CIAA","NA NA",11,22,NA,NA,NA,NA,NA,NA,NA
"182",1,"William Paterson","New Jersey","FDU-Florham","Mid Atlantic","NA NA",29,33,NA,NA,NA,NA,NA,NA,NA
"183",1,"Elizabeth City State","CIAA","Catawba","South Atlantic","NA NA",23,31,NA,NA,NA,NA,NA,NA,NA
"184",1,"St. Johns (MN)","Minnesota","Trinity (TX)","Southern Athletic","NA NA",34,31,NA,NA,NA,NA,NA,NA,NA
"185",1,"Muskingum","Ohio","Ferrum","Old Dominion","NA NA",31,20,NA,NA,NA,NA,NA,NA,NA
"186",1,"Castleton State College","ECFC","Plymouth State","MSCAC","NA NA",25,21,NA,NA,NA,NA,NA,NA,NA
"187",1,"Misericordia","Mid Atlantic","Alfred State College","ECFC","NA NA",14,24,NA,NA,NA,NA,NA,NA,NA
"188",1,"Waynesburg","Presidents'","Allegheny","Presidents'","NA NA",36,39,NA,NA,NA,NA,NA,NA,NA
"189",1,"Baldwin-Wallace","Ohio","Mount St. Joseph","Heartland","NA NA",33,46,NA,NA,NA,NA,NA,NA,NA
"190",1,"Shenandoah","Old Dominion","Methodist","USA South","NA NA",44,29,NA,NA,NA,NA,NA,NA,NA
"191",1,"Dickinson","Centennial","Rensselaer","Liberty League","NA NA",27,38,NA,NA,NA,NA,NA,NA,NA
"192",1,"Defiance","Heartland","Mount Union","Ohio","NA NA",6,45,NA,NA,NA,NA,NA,NA,NA
