CFBDataID,player,player_id,DraftYear,position,team_name,CFBDTeamNme,PlayerTeamHelper,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
4427914,D'Wan Mathis,99130,2024,QB,TEMPLE,Temple,D'Wan MathisTemple,7,69.3,179,193,8.6,2.59,3,6,3,59.1,114,0,81,8.1,227,10,55,306,67.6,52.2,50.2,62.3,3,4,233,3,19.8,79.1,7,16,15,0,8,6,6,2.6,1209,6.3
4239939,Dennis Grosel,60351,2022,QB,BOSTON COL,Boston College,Dennis GroselBoston College,8,69.5,177,192,9.9,2.85,6,3,1.5,57.8,111,0,78,9.8,219,12,60,121,50.4,70.3,64.2,78.1,5,7,228,3,19.2,71.9,6.8,15,11,0,4,6,9,3.9,1216,6.3
4689114,Jaxson Dart,146409,2025,QB,USC,USC,Jaxson DartUSC,6,72.5,178,191,9.8,2.59,7,9,4.3,61.3,117,0,49,9.3,200,12,66,326,55.6,72.2,73.6,56.1,2,5,220,4,8.2,87.4,2,4,4,1,3,9,9,4.1,1351,7.1
4426339,Spencer Rattler,97408,2023,QB,OKLAHOMA,Oklahoma,Spencer RattlerOklahoma,9,80.1,181,190,7.8,2.83,1,3,1.5,73.7,140,0,52,3.4,219,5,83,261,67.1,86.1,87,61.8,0,5,224,3,23.1,104.3,5.5,12,17,2,6,11,8,3.6,1483,7.8
4241193,Taylor Powell,60459,2023,QB,TROY,Troy,Taylor PowellTroy,6,77.6,174,189,6.5,2.57,4,8,4,65.6,124,0,64,8.1,206,11,60,318,53.5,76.9,76.1,59.6,5,6,218,2,18.8,82.7,5.8,12,4,0,6,7,8,3.7,1219,6.4
4429066,Jeff Sims,122496,2025,QB,GA TECH,Georgia Tech,Jeff SimsGeorgia Tech,7,67,176,187,9.2,2.75,2,8,4,59.9,112,0,76,5.1,216,6,63,176,55.3,69,57.4,82.9,2,7,228,1,15.8,90.5,5.6,12,14,0,7,12,9,3.9,1466,7.8
4240020,James Blackman,60382,2022,QB,ARK STATE,Arkansas State,James BlackmanArkansas State,6,70.1,177,184,11.3,2.86,2,13,6.6,59.2,109,0,80,12.1,214,15,63,113,42,71.2,71.8,53.1,2,4,227,2,23.8,87.2,8.9,19,10,0,3,8,5,2.2,1340,7.3
4360900,Jason Bean,83529,2022,QB,KANSAS,Kansas,Jason BeanKansas,9,66.9,163,182,10.1,2.98,5,10,5.3,56,102,0,69,6.4,216,7,63,198,62,59.5,53.5,66.1,0,6,224,1,13,74.7,4.2,9,25,1,13,6,14,6.3,1252,6.9
4887223,Chandler Rogers,98683,2023,QB,LA MONROE,Louisiana Monroe,Chandler RogersLouisiana Monroe,12,70.8,168,179,9.6,2.56,1,3,1.6,62,111,0,84,6.7,228,8,62,209,35.4,63.4,57.1,67.1,6,3,241,1,33.3,93.8,12.3,28,20,1,3,9,10,4.1,1302,7.3
4361690,Sean Chambers,75888,2024,QB,WYOMING,Wyoming,Sean ChambersWyoming,8,57.1,170,178,13.1,2.91,3,7,3.8,50.6,90,0,59,7.2,212,7,65,351,27.5,58,50.7,72.6,3,7,219,3,22,65.4,6.1,13,20,0,2,6,12,5.5,1125,6.3
4426657,Ryan Hilinski,71295,2024,QB,NWESTERN,Northwestern,Ryan HilinskiNorthwestern,9,63.3,158,177,8,2.46,9,2,1.1,53.7,95,0,52,5,188,5,41,256,53.6,49.3,47.4,58.7,2,4,199,1,17.3,66,4.8,9,2,0,8,3,10,5,977,5.5
4291782,Chase Cunningham,78533,2022,QB,MIDDLE TN,Middle Tennessee,Chase CunninghamMiddle Tennessee,8,72.6,168,177,9.2,2.75,0,11,5.8,63.3,112,0,62,8.2,199,10,62,224,55,73.7,73.2,61.8,1,3,213,0,17.7,109.1,5.5,11,11,0,8,16,3,1.4,1327,7.5
4433932,Mike Wright,124366,2023,QB,VANDERBILT,Vanderbilt,Mike WrightVanderbilt,10,63.9,158,175,9.1,3.17,2,5,2.7,53.1,93,0,80,7.9,224,8,58,333,53.3,59.9,50.5,71.4,0,6,237,0,20,72.1,7.1,16,31,0,15,8,12,5.1,1042,6
