"Sportsbook","Team","Odds","Date"
"Fanduel","Stanford","+30000","2022-09-01"
"Fanduel","Indiana","+30000","2022-09-01"
"Fanduel","Kansas State","+30000","2022-09-01"
"Fanduel","Washington State","+30000","2022-09-01"
"Fanduel","Maryland","+30000","2022-09-01"
"Fanduel","Virginia","+30000","2022-09-01"
"Fanduel","Georgia Tech","+30000","2022-09-01"
"Fanduel","Nebraska","+30000","2022-09-01"
"Fanduel","Syracuse","+50000","2022-09-01"
"Fanduel","Utah State","+50000","2022-09-01"
"Fanduel","BYU","+50000","2022-09-01"
"Fanduel","Texas Tech","+50000","2022-09-01"
"Fanduel","UTSA","+100000","2022-09-01"
"Fanduel","Appalachian State","+100000","2022-09-01"
"Fanduel","SMU","+100000","2022-09-01"
"Fanduel","Kent State","+100000","2022-09-01"
"Fanduel","Illinois","+100000","2022-09-01"
"Fanduel","Army","+100000","2022-09-01"
"Fanduel","UNLV","+100000","2022-09-01"
"Fanduel","Colorado","+100000","2022-09-01"
"Fanduel","Florida International","+100000","2022-09-01"
"Fanduel","Ball State","+100000","2022-09-01"
"Fanduel","Tulane","+100000","2022-09-01"
"Fanduel","Coastal Carolina","+100000","2022-09-01"
"Fanduel","Bowling Green","+100000","2022-09-01"
"Fanduel","South Florida","+100000","2022-09-01"
"Fanduel","South Alabama","+100000","2022-09-01"
"Fanduel","Liberty","+100000","2022-09-01"
"Fanduel","UAB","+100000","2022-09-01"
"Fanduel","Northwestern","+100000","2022-09-01"
"Fanduel","San Diego State","+100000","2022-09-01"
"Fanduel","UL Monroe","+100000","2022-09-01"
"Fanduel","Central Michigan","+100000","2022-09-01"
"Fanduel","Louisiana Tech","+100000","2022-09-01"
"Fanduel","Marshall","+100000","2022-09-01"
"Fanduel","Buffalo","+100000","2022-09-01"
"Fanduel","Tulsa","+100000","2022-09-01"
"Fanduel","Missouri","+100000","2022-09-01"
"Fanduel","Western Michigan","+100000","2022-09-01"
"Fanduel","Arizona","+100000","2022-09-01"
"Fanduel","Duke","+100000","2022-09-01"
"Fanduel","Air Force","+100000","2022-09-01"
"Fanduel","North Texas","+100000","2022-09-01"
"Fanduel","Florida Atlantic","+100000","2022-09-01"
"Fanduel","Southern Mississippi","+100000","2022-09-01"
"Fanduel","Rice","+100000","2022-09-01"
"Fanduel","Georgia State","+100000","2022-09-01"
"Fanduel","Ohio","+100000","2022-09-01"
"Fanduel","Colorado State","+100000","2022-09-01"
"Fanduel","Temple","+100000","2022-09-01"
"Fanduel","Memphis","+100000","2022-09-01"
"Fanduel","New Mexico","+100000","2022-09-01"
"Fanduel","Northern Illinois","+100000","2022-09-01"
"Fanduel","Akron","+100000","2022-09-01"
"Fanduel","Texas State","+100000","2022-09-01"
"Fanduel","Fresno State","+100000","2022-09-01"
"Fanduel","Miami Ohio","+100000","2022-09-01"
"Fanduel","Toledo","+100000","2022-09-01"
"Fanduel","Eastern Michigan","+100000","2022-09-01"
"Fanduel","East Carolina","+100000","2022-09-01"
"Fanduel","Old Dominion","+100000","2022-09-01"
"Fanduel","Rutgers","+100000","2022-09-01"
"Fanduel","Kansas","+100000","2022-09-01"
"Fanduel","San Jose State","+100000","2022-09-01"
"Fanduel","Western Kentucky","+100000","2022-09-01"
"Fanduel","Georgia Southern","+100000","2022-09-01"
"Fanduel","Nevada","+100000","2022-09-01"
"Fanduel","Navy","+100000","2022-09-01"
"Fanduel","Vanderbilt","+100000","2022-09-01"
"Fanduel","UL Lafayette","+100000","2022-09-01"
"Fanduel","Troy","+100000","2022-09-01"
"Fanduel","Massachusetts","+100000","2022-09-01"
"Fanduel","Arkansas State","+100000","2022-09-01"
"Fanduel","Boise State","+100000","2022-09-01"
"Fanduel","Middle Tennessee","+100000","2022-09-01"
