"","game_id","season","week","home_team","away_team","home_points","away_points","matchup","formatted_spread","over_under"
"1082",401431218,2022,4,"Augsburg","St. Scholastica",50,13,"St. Scholastica @ Augsburg",NA,NA
"1083",401432664,2022,4,"Baldwin-Wallace","Ohio Northern",35,31,"Ohio Northern @ Baldwin-Wallace",NA,NA
"1084",401432897,2022,4,"UW-Stout","Crown College",66,6,"Crown College @ UW-Stout",NA,NA
"1085",401432696,2022,4,"Otterbein","Marietta",10,27,"Marietta @ Otterbein",NA,NA
"1086",401414781,2022,4,"Temple","UMass",28,0,"UMass @ Temple","Temple -10.5","44.0"
"1087",401416606,2022,4,"Ohio","Fordham",59,52,"Fordham @ Ohio","Ohio -16.5","74.5"
"1088",401431586,2022,4,"William Jewell College","Kentucky Wesleyan",24,17,"Kentucky Wesleyan @ William Jewell College",NA,NA
"1089",401432333,2022,4,"Tuskegee","Allen",35,27,"Allen @ Tuskegee",NA,NA
"1090",401432347,2022,4,"Morehouse","Savannah State",3,15,"Savannah State @ Morehouse",NA,NA
"1091",401437656,2022,4,"Northern Michigan","Post University",42,14,"Post University @ Northern Michigan",NA,NA
"1092",401432148,2022,4,"Fairmont State","UNC Pembroke",25,23,"UNC Pembroke @ Fairmont State",NA,NA
"1093",401432415,2022,4,"Winona State","Minnesota St-Moorhead",40,7,"Minnesota St-Moorhead @ Winona State",NA,NA
"1094",401432432,2022,4,"Augustana (SD)","Northern State",21,13,"Northern State @ Augustana (SD)",NA,NA
"1095",401431520,2022,4,"Quincy","Ashland",14,34,"Ashland @ Quincy",NA,NA
"1096",401432979,2022,4,"Bloomsburg","Shippensburg",17,31,"Shippensburg @ Bloomsburg",NA,NA
