season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2022,Brady,Boyd,WR,Minnesota,Texas Tech,2021-12-09T14:21:00.000Z,0.85,3,Immediate
2022,Daniel,Foster-Allen,DL,Auburn,South Alabama,2022-01-12T16:17:00.000Z,0.83,3,Immediate
2022,Noah,Bean,TE,UNLV,,2021-12-07T14:54:00.000Z,,3,Immediate
2022,Jaeger,Bull,TE,Rice,,2021-12-07T14:54:00.000Z,,2,Immediate
2022,Des,Holmes,IOL,Penn State,Arizona State,2021-12-07T14:54:00.000Z,0.84,3,Immediate
2022,Trustin,Oliver,S,Colorado,Central Arkansas,2021-11-30T09:53:00.000Z,0.81,3,Immediate
2022,Jacardia,Wright,RB,Kansas State,,2021-11-30T09:50:00.000Z,,3,Immediate
2022,Conner,Parsons,IOL,Louisiana Monroe,,2021-11-30T09:36:00.000Z,0.79,2,Immediate
2022,Brendon,Harris,S,Vanderbilt,,2021-11-30T09:21:00.000Z,0.82,3,Immediate
2022,Elijah,Canion,WR,Auburn,Purdue,2021-11-30T09:05:00.000Z,0.84,3,Immediate
2022,Amir,Abdur-Rahman,WR,Vanderbilt,,2021-11-30T09:05:00.000Z,0.83,3,Immediate
2022,Caleb,Johnson,EDGE,Auburn,,2021-11-30T09:03:00.000Z,0.83,3,Immediate
2022,Theo,Wease,WR,Oklahoma,Oklahoma,2021-12-01T09:41:00.000Z,0.9,4,Immediate
2022,Lorenza,Surgers,DL,Vanderbilt,Minnesota,2021-11-30T08:53:00.000Z,0.8,3,Immediate
2022,Danny,Joiner,TE,Army,,2021-11-30T08:51:00.000Z,0.79,2,Immediate
2022,Payne,He'Bert,OT,Northwestern,UT San Antonio,2021-11-29T18:39:00.000Z,0.8,3,Immediate
2022,Jaylen,Rivers,ATH,Northwestern,,2021-11-29T12:32:00.000Z,0.8,3,Immediate
2022,Morgan,Moore,OT,Texas State,,2021-12-03T14:53:00.000Z,0.79,2,Immediate
2022,Kyle,Cass,CB,Mississippi State,,2022-01-12T10:53:00.000Z,,3,Immediate
2022,Gavin,McCabe,DL,Indiana,,2022-01-12T10:45:00.000Z,,3,Immediate
2022,Toby,Ndukwe,LB,SMU,,2022-01-12T09:38:00.000Z,,3,Immediate
2022,Anthony,Earle,OG,Florida Atlantic,,2022-01-12T08:51:00.000Z,,3,Immediate
2022,Drew,Sanders,LB,Alabama,Arkansas,2022-01-11T14:53:00.000Z,0.94,4,Immediate
2022,Chuck,Filiaga,IOL,Michigan,Minnesota,2022-01-07T09:18:00.000Z,0.89,3,Immediate
2022,Rome,Weber,CB,Wyoming,Western Kentucky,2021-12-23T14:53:00.000Z,0.83,3,Immediate
2022,Cade,Cadam,WR,Arizona State,,2021-12-13T14:54:00.000Z,,3,Immediate
2022,Jaali,Parker,S,Western Michigan,,2021-12-12T14:53:00.000Z,,3,Immediate
2022,Preston,Hutchinson,QB,Eastern Michigan,Chattanooga,2021-12-12T14:29:00.000Z,,2,Immediate
2022,Moses,Douglass,S,Kentucky,,2021-12-11T14:53:00.000Z,,4,Immediate
2022,Henry,Colombi,QB,Texas Tech,Marshall,2022-01-12T16:58:00.000Z,0.82,3,Immediate
2022,Jalen,Kimber,CB,Georgia,Florida,2022-01-12T16:43:00.000Z,0.9,4,Immediate
2022,Justin,Robinson,WR,Georgia,Mississippi State,2022-01-12T16:32:00.000Z,0.87,3,Immediate
2022,Adonicas,Sanders,WR,Georgia Tech,,2022-01-11T13:08:00.000Z,,2,Immediate
2022,DeZaun,Brooks,DL,Eastern Michigan,,2022-01-12T11:59:00.000Z,,2,Immediate
2022,Austin,Jones,RB,Stanford,USC,2022-01-12T11:56:00.000Z,0.89,3,Immediate
2022,Trea,Shropshire,WR,UAB,,2022-01-12T11:45:00.000Z,,3,Immediate
2022,Brylan,Lanier,CB,Alabama,,2022-01-11T18:32:00.000Z,,3,Immediate
2022,Tyrese,Chambers,WR,Florida Intl,,2021-11-30T10:57:00.000Z,0.87,3,Immediate
2022,Mark,Williams,TE,Kent State,,2021-12-08T14:54:00.000Z,,2,Immediate
2022,Malcolm,Johnson,LB,UNLV,,2021-12-08T14:53:00.000Z,,2,Immediate
2022,Paul,Tyson,QB,Alabama,Arizona State,2022-01-11T18:26:00.000Z,0.85,3,Immediate
2022,Gabe,Lemons,CB,Oklahoma State,,2022-01-11T17:25:00.000Z,,3,Immediate
2022,Tyler,Murray,LB,Charlotte,Memphis,2022-01-11T16:34:00.000Z,,2,Immediate
2022,Joshia,Davis,RB,Colorado,,2022-01-11T16:32:00.000Z,0.84,3,Immediate
2022,Ameer,Speed,CB,Georgia,Michigan State,2022-01-11T16:08:00.000Z,0.87,3,Immediate
2022,Jahleel,Billingsley,TE,Alabama,Texas,2022-01-11T16:04:00.000Z,0.93,4,Immediate
2022,Emmanuel,Greene,WR,New Mexico,,2021-11-29T10:45:00.000Z,,2,Immediate
2022,Jordyn,Williams,WR,Indiana,Jackson State,2021-11-29T10:44:00.000Z,0.82,3,Immediate
2022,Simon,Thompson,LB,Utah State,,2022-01-05T17:54:00.000Z,,3,Immediate
2022,Jaqwondis,Burns,LB,Minnesota,SMU,2022-01-05T15:05:00.000Z,0.86,3,Immediate
2022,Tommy,Brown,OT,Alabama,Colorado,2022-01-11T15:59:00.000Z,0.82,3,Immediate
2022,Dwight,McGlothern,CB,LSU,Arkansas,2022-01-16T13:47:00.000Z,0.91,4,Immediate
2022,Kolbe,Burrell,RB,Buffalo,Northwestern State,2021-12-07T11:33:00.000Z,0.79,2,Immediate
2022,Jamie,Pettway,LB,Missouri,Florida Atlantic,2021-10-25T11:58:00.000Z,0.81,3,Immediate
2022,Cross,Patton,RB,Oregon,Nevada,2022-01-11T13:42:00.000Z,,,Immediate
2022,John,Waller,DL,South Florida,,2022-01-11T13:15:00.000Z,,3,Immediate
2022,Tayvion,Robinson,WR,Virginia Tech,Kentucky,2021-12-02T09:18:00.000Z,0.88,3,Immediate
2022,Ben,Labrosse,S,Syracuse,,2021-12-14T12:22:00.000Z,,3,Immediate
2022,Chase,Atkinson,CB,Syracuse,,2021-12-14T11:25:00.000Z,,3,Immediate
2022,Caleb,Williams,QB,Oklahoma,,2022-01-03T15:22:00.000Z,1,5,Immediate
2022,Henry,Garrison,DL,East Carolina,,2022-01-03T14:57:00.000Z,,3,Immediate
2022,Aidan,Robbins,RB,Louisville,,2022-01-11T11:47:00.000Z,0.84,3,Immediate
